ParticipantID|Sender|Onset|Enter|Typingti|Speed|AppOrig.|Text|Recipients|Blocked|KDels|DDels|DIns|DDels*N|DIns*N|TaggedText|CONDITION|BATCH|STAGE
server|server|60032|60032|0|0|Michael Hunter|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
T3RT3R|Michael Hunter|61716|63172|1456|3|Michael Hunter|/next|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
T1RT1R|Claire|62231|65615|3384|2|Claire|so ill do |, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
server|server|63174|63174|0|0|Michael Hunter|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
server|server|65407|65407|0|0|stanfordstudent|*****The list of items is deleted....start again |, maxine|OK|0|0|0|0|0|E|B|MIXED|0
T0LT0L|psych4|65889|71231|5342|1|psych4|/restart|, kudos|OK|0|3|0|3|0|E|B|MIXED|0
T1RT1R|Claire|68101|69693|1592|2|Claire|/EEE|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T0RT0R|dragon_slayer|68331|72481|4150|4|dragon_slayer|k ill type yours now|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
server|server|71233|71233|0|0|psych4|*****The list of items is deleted....start again |, kudos|OK|0|0|0|0|0|E|B|MIXED|0
T0RT0R|dragon_slayer|72951|74011|1060|3|dragon_slayer|/EEE|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
server|server|74012|74012|0|0|dragon_slayer|****OTHER PARTICIPANT TRIED TO SELECT AN ITEM THAT'S ALREADY BEEN SELECTED|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T1LT1L|kudos|79046|79389|343|5|kudos|go|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T3RT3R|Michael Hunter|80957|84429|3472|2|Michael Hunter|/HERETIC|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
T0LT0L|psych4|82873|84792|1919|3|psych4|camfouf|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
server|server|84430|84430|0|0|Michael Hunter|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
T1RT1R|Claire|87366|92830|5464|3|Claire|whats your other one?|, dragon_slayer|OK|2|2|0|2|0|E|W|MIXED|0
T0LT0L|psych4|89335|90110|775|1|psych4|?|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
t3lt3l|stanfordstudent|89995|114027|24032|0|stanfordstudent|/went|, maxine|OK|0|3|0|3|0|E|B|MIXED|0
T0RT0R|dragon_slayer|91948|93040|1092|4|dragon_slayer|/next|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T3RT3R|Michael Hunter|92216|94504|2288|2|Michael Hunter|/MUCUS|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
server|server|93042|93042|0|0|dragon_slayer|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T1LT1L|kudos|93078|94855|1777|10|kudos|o i meant, u can go|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
server|server|94518|94518|0|0|maxine|*****The list of items is deleted....start again |, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
server|server|94531|94531|0|0|Michael Hunter|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
T0RT0R|dragon_slayer|95534|98217|2683|5|dragon_slayer|i only have one|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T3RT3R|Michael Hunter|95968|101824|5856|0|Michael Hunter|/next|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
T2LT2L|maxine|96290|97504|1214|6|maxine|/grapple|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T0LT0L|psych4|96626|101240|4614|1|psych4|backg|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
server|server|97507|97507|0|0|maxine|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T2LT2L|maxine|100320|101591|1271|4|maxine|/sound|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T1RT1R|Claire|101569|106576|5007|0|Claire|ok|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
server|server|101592|101592|0|0|maxine|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
server|server|101825|101825|0|0|Michael Hunter|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
T2LT2L|maxine|102393|103593|1200|4|maxine|/next|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
server|server|103596|103596|0|0|maxine|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T1RT1R|Claire|107001|108361|1360|2|Claire|/EEE|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T0RT0R|dragon_slayer|110187|115522|5335|5|dragon_slayer|did you type yours in caps?|, Claire|OK|2|2|0|2|0|E|B|MIXED|0
T1LT1L|kudos|113621|128741|15120|2|kudos|i think u put the words u hav in order|, psych4|OK|1|1|0|1|0|E|W|MIXED|0
server|server|114035|114035|0|0|stanfordstudent|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, maxine|OK|0|0|0|0|0|E|B|MIXED|0
T0LT0L|psych4|117519|121046|3527|5|psych4|how does this work?|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
T1RT1R|Claire|119505|120489|984|2|Claire|ya|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T0RT0R|dragon_slayer|120931|126787|5856|0|dragon_slayer|hmmm|, Claire|OK|10|4|0|4|0|E|B|MIXED|0
T0LT0L|psych4|122363|137571|15208|3|psych4|in alphabetical order my words are BACKG then CAMOUF|, kudos|OK|2|2|0|2|0|E|B|MIXED|0
T3RT3R|Michael Hunter|122693|133821|11128|2|Michael Hunter|is tht the first word you have|, anon_person|OK|6|4|0|4|0|E|B|MIXED|0
T1LT1L|kudos|128855|130455|1600|13|kudos|and then ill put mine|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T1RT1R|Claire|135099|154106|19007|3|Claire|wait why isnt it accepting it when i write /eee (but in caps)|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T3RT3R|Michael Hunter|136110|140494|4384|3|Michael Hunter|alphabetical wise|, anon_person|OK|1|1|0|1|0|E|B|MIXED|0
T1LT1L|kudos|137516|140787|3271|0|kudos|ok|, psych4|OK|13|12|0|12|0|E|W|MIXED|0
T2RT2R|anon_person|137722|140043|2321|1|anon_person|yeah|, Michael Hunter|OK|0|0|0|0|0|E|W|MIXED|0
T0RT0R|dragon_slayer|139449|141056|1607|3|dragon_slayer|/WORD|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T2LT2L|maxine|139713|153553|13840|0|maxine|hello?|, stanfordstudent|OK|13|13|0|13|0|E|W|MIXED|0
T1LT1L|kudos|140902|142702|1800|10|kudos|mine is just WATER|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
server|server|141064|141064|0|0|dragon_slayer|****OTHER PARTICIPANT TYPED A TYPO|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T1LT1L|kudos|143120|146624|3504|7|kudos|ready, set, write ur words!|, psych4|OK|1|1|0|1|0|E|W|MIXED|0
T3RT3R|Michael Hunter|143157|143637|480|4|Michael Hunter|ok|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
T0RT0R|dragon_slayer|144729|146211|1482|2|dragon_slayer|/EEE|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
server|server|146215|146215|0|0|dragon_slayer|****OTHER PARTICIPANT TRIED TO SELECT AN ITEM THAT'S ALREADY BEEN SELECTED|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T0LT0L|psych4|146388|155417|9029|1|psych4|BACKG CAMOUF WATER|, kudos|OK|5|5|0|5|0|E|B|MIXED|0
T0RT0R|dragon_slayer|147995|149618|1623|4|dragon_slayer|/restart|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
server|server|149631|149631|0|0|dragon_slayer|*****The list of items is deleted....start again |, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T3RT3R|Michael Hunter|150765|165030|14265|5|Michael Hunter|so i think i type tht one and then you hav to the two i have into the list|, anon_person|OK|6|6|0|6|0|E|B|MIXED|0
t3lt3l|stanfordstudent|151513|168281|16768|1|stanfordstudent|yes...how does this work?|, maxine|OK|7|5|0|5|0|E|B|MIXED|0
T0RT0R|dragon_slayer|154273|155427|1154|4|dragon_slayer|/next|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
server|server|155431|155431|0|0|dragon_slayer|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T1LT1L|kudos|157764|158892|1128|4|kudos|/next|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
server|server|158895|158895|0|0|kudos|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T0RT0R|dragon_slayer|162095|165090|2995|1|dragon_slayer|/UUU|, Claire|OK|0|4|0|4|0|E|B|MIXED|0
T0LT0L|psych4|164792|167151|2359|1|psych4|why?|, kudos|OK|2|2|0|2|0|E|B|MIXED|0
server|server|165104|165104|0|0|dragon_slayer|****OTHER PARTICIPANT TYPED A TYPO|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T3RT3R|Michael Hunter|165843|169788|3945|1|Michael Hunter|/HEAVY|, anon_person|OK|0|6|0|6|0|E|B|MIXED|0
T1RT1R|Claire|168247|173855|5608|4|Claire|it says you typed a typo|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T2LT2L|maxine|170797|173565|2768|4|maxine|i don't know|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T1LT1L|kudos|172123|181715|9592|6|kudos|it says if the list is correct, u can type this command, /next|, psych4|OK|3|3|0|3|0|E|W|MIXED|0
T2LT2L|maxine|173751|177894|4143|5|maxine|what words do you have?|, stanfordstudent|OK|1|1|0|1|0|E|W|MIXED|0
T0RT0R|dragon_slayer|174246|204383|30137|3|dragon_slayer|whoops k lets give this one more shot.  you type mine first in caps within the next 10 seconds, then Ill type yours|, Claire|OK|17|16|0|16|0|E|B|MIXED|0
t3lt3l|stanfordstudent|174927|179856|4929|5|stanfordstudent|i have one word on my list|, maxine|OK|2|2|0|2|0|E|B|MIXED|0
T2RT2R|anon_person|176383|206245|29862|0|anon_person|that's ok|, Michael Hunter|OK|5|5|0|5|0|E|W|MIXED|0
T0LT0L|psych4|176795|201968|25173|0|psych4|backg camouf water /next|, kudos|OK|18|14|0|14|0|E|B|MIXED|0
T3RT3R|Michael Hunter|180880|201481|20601|1|Michael Hunter|wait, what other words do you have?|, anon_person|OK|42|42|0|42|0|E|B|MIXED|0
t3lt3l|stanfordstudent|181499|184771|3272|1|stanfordstudent|"went"|, maxine|OK|2|2|0|2|0|E|B|MIXED|0
T1LT1L|kudos|182577|187601|5024|5|kudos|cuz now our words are in order|, psych4|OK|2|1|0|1|0|E|W|MIXED|0
T2LT2L|maxine|186549|194204|7655|3|maxine|mine are "sound" and "grapple"|, stanfordstudent|OK|8|8|0|8|0|E|W|MIXED|0
T1LT1L|kudos|187892|191564|3672|4|kudos|BACKG CAMOUF WATER|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T1LT1L|kudos|191905|192721|816|6|kudos|/next|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
server|server|192738|192738|0|0|kudos|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T2LT2L|maxine|195964|199195|3231|2|maxine|/grapple|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T1RT1R|Claire|197115|204603|7488|0|Claire|/UUU|, dragon_slayer|OK|0|3|0|3|0|E|W|MIXED|0
server|server|199199|199199|0|0|maxine|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T2LT2L|maxine|199523|201028|1505|3|maxine|/sound|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
server|server|201034|201034|0|0|maxine|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T2LT2L|maxine|201615|203469|1854|2|maxine|/went|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T1LT1L|kudos|202604|206886|4282|6|kudos|wut happens wen i type /next?|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T0LT0L|psych4|202699|212608|9909|1|psych4|BACKG CAMOUF WATER|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
server|server|204615|204615|0|0|Claire|****OTHER PARTICIPANT TYPED A TYPO|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T2LT2L|maxine|205165|206765|1600|3|maxine|/next|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
server|server|206771|206771|0|0|maxine|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T2RT2R|anon_person|207168|209737|2569|3|anon_person|that's it*|, Michael Hunter|OK|0|0|0|0|0|E|W|MIXED|0
t3lt3l|stanfordstudent|209572|220203|10631|3|stanfordstudent|ok i think i have to select your words|, maxine|OK|1|1|0|1|0|E|B|MIXED|0
T0RT0R|dragon_slayer|211870|218141|6271|0|dragon_slayer|/UUU|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T0LT0L|psych4|213002|216208|3206|1|psych4|/next|, kudos|OK|0|2|0|2|0|E|B|MIXED|0
T1RT1R|Claire|214789|227756|12967|2|Claire|kk, so you do thatone then uuu|, dragon_slayer|OK|5|5|0|5|0|E|W|MIXED|0
server|server|216213|216213|0|0|psych4|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
T3RT3R|Michael Hunter|217288|233401|16113|3|Michael Hunter|oh, so i'll write heavy and then you write heretic and mucus|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
T0LT0L|psych4|217353|218233|880|7|psych4|nothing|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
server|server|218164|218164|0|0|dragon_slayer|****OTHER PARTICIPANT TYPED A TYPO|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T0LT0L|psych4|218665|221384|2719|7|psych4|nothing is happening|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
T0RT0R|dragon_slayer|219590|221384|1794|2|dragon_slayer|/next|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T1LT1L|kudos|219794|222658|2864|2|kudos|oh hm ok|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T2RT2R|anon_person|220200|234128|13928|4|anon_person|i'm confused as to how you're supposed to add words on the list|, Michael Hunter|OK|5|5|0|5|0|E|W|MIXED|0
server|server|221437|221437|0|0|dragon_slayer|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
t3lt3l|stanfordstudent|222684|228508|5824|4|stanfordstudent|and you can only select mine|, maxine|OK|0|0|0|0|0|E|B|MIXED|0
T0RT0R|dragon_slayer|227143|241795|14652|0|dragon_slayer|/UUU|, Claire|OK|0|4|0|4|0|E|B|MIXED|0
T0LT0L|psych4|227520|229630|2110|2|psych4|/next|, kudos|OK|0|1|0|1|0|E|B|MIXED|0
T1RT1R|Claire|228351|229888|1537|5|Claire|ready go|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
server|server|229633|229633|0|0|psych4|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
T1RT1R|Claire|230165|231357|1192|3|Claire|/EEE|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T2LT2L|maxine|230840|242943|12103|0|maxine|okay|, stanfordstudent|OK|6|6|0|6|0|E|W|MIXED|0
t3lt3l|stanfordstudent|232493|237476|4983|2|stanfordstudent|lets restart|, maxine|OK|2|2|0|2|0|E|B|MIXED|0
T0LT0L|psych4|233166|233918|752|5|psych4|hmmm|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
T3RT3R|Michael Hunter|234433|260082|25649|5|Michael Hunter|i think you just write the slash ket and then type in the word, which might hav to be in all caps but i havent figured tht out yet|, anon_person|OK|9|6|0|6|0|E|B|MIXED|0
T1LT1L|kudos|234899|237122|2223|8|kudos|u only have 2 words?|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
t3lt3l|stanfordstudent|240244|244276|4032|1|stanfordstudent|/restart|, maxine|OK|0|0|0|0|0|E|B|MIXED|0
server|server|241821|241821|0|0|dragon_slayer|****OTHER PARTICIPANT TYPED A TYPO|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
server|server|244277|244277|0|0|stanfordstudent|*****The list of items is deleted....start again |, maxine|OK|0|0|0|0|0|E|B|MIXED|0
t3lt3l|stanfordstudent|246273|251345|5072|1|stanfordstudent|/grapple|, maxine|OK|0|0|0|0|0|E|B|MIXED|0
T1RT1R|Claire|246699|252003|5304|5|Claire|it says you did a typo again|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T0RT0R|dragon_slayer|246842|254923|8081|4|dragon_slayer|it said you typed a typo on the last one|, Claire|OK|1|1|0|1|0|E|B|MIXED|0
T0LT0L|psych4|247127|248383|1256|2|psych4|yes|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
T2RT2R|anon_person|248469|272197|23728|0|anon_person|ok|, Michael Hunter|OK|38|31|0|31|0|E|W|MIXED|0
T1RT1R|Claire|252185|256241|4056|2|Claire|im confused|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T1LT1L|kudos|253151|259016|5865|1|kudos|/BACKG|, psych4|OK|0|5|0|5|0|E|W|MIXED|0
t3lt3l|stanfordstudent|255592|257328|1736|3|stanfordstudent|/sound|, maxine|OK|0|0|0|0|0|E|B|MIXED|0
T0LT0L|psych4|256938|266685|9747|3|psych4|maybe if each one is their own entry??|, kudos|OK|8|8|0|8|0|E|B|MIXED|0
T0RT0R|dragon_slayer|258972|269128|10156|1|dragon_slayer|whaaaaat.  |, Claire|OK|14|14|0|14|0|E|B|MIXED|0
T1LT1L|kudos|259217|266329|7112|0|kudos|/CAMOUF|, psych4|OK|0|0|1|0|4|E|W|MIXED|0
T1RT1R|Claire|259536|261632|2096|2|Claire|wierd|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T3RT3R|Michael Hunter|261804|266135|4331|5|Michael Hunter|lets just giv it a try|, anon_person|OK|1|1|0|1|0|E|B|MIXED|0
T2LT2L|maxine|261958|262750|792|6|maxine|/went|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T2LT2L|maxine|263751|265842|2091|5|maxine|did you go ?|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T1LT1L|kudos|266576|267647|1071|5|kudos|/WATER|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
server|server|267650|267650|0|0|kudos|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T0LT0L|psych4|267939|277372|9433|0|psych4|BACKG|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
T1LT1L|kudos|267969|269329|1360|3|kudos|/next|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T3RT3R|Michael Hunter|268159|272519|4360|1|Michael Hunter|/HEAVY|, anon_person|OK|0|2|0|2|0|E|B|MIXED|0
server|server|269331|269331|0|0|kudos|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
t3lt3l|stanfordstudent|271221|284917|13696|3|stanfordstudent|ya i restarted it and selected grapple then sound|, maxine|OK|1|1|0|1|0|E|B|MIXED|0
